.	chl_b	chl_c1_c2	chl_c3	perid	19but	fucox	neox	prasinox	violax	19hex	DD_DT	allox	zeax	lutein	dv_chla	chl_a
47	0.182580824	0.116822759	0.080093165	0.013444329	0.079044594	0.095974501	0.023749559	0	0.019772346	0.344561039	0.056429186	0.01163039	0.496445619	0.030315423	0.126934113	1
48	0.197137042	0.109940472	0.063009836	0.013885886	0.071933425	0.087550449	0.026655607	0	0.022556298	0.336735245	0.055155977	0.012469144	0.53814855	0.034608733	0.125112227	1
49	0.160961985	0.110819322	0.073515595	0.013303305	0.071637944	0.136722001	0.020139143	0	0.017174531	0.325499306	0.053017676	0.012639727	0.472351425	0.026020113	0.118905417	1
50	0.171361494	0.106527268	0.063211874	0.01135504	0.075415425	0.092571271	0.020087491	0	0.015664117	0.349037243	0.049001932	0.014149667	0.494668813	0.027940979	0.140882381	1
51	0.178445931	0.119789998	0.076937123	0.01203135	0.075413777	0.075530208	0.020709056	0	0.017337562	0.364143013	0.049476725	0.01216624	0.5362658	0.02679505	0.147827154	1
52	0.173310505	0.120649482	0.085268617	0.017839818	0.083629447	0.085249756	0.024511091	0	0.017761718	0.377998062	0.052348227	0.013949524	0.519589933	0.028436653	0.134639379	1
104	0.009056133	0.121007651	0.094930653	0.00191368	0.010378661	0.558987497	0.000855127	0	0	0.047233434	0.257695419	0.022848577	0.025452783	0.000859795	0.003978048	1
105	0.024759934	0.03139927	0.017094234	0	0.007461973	0.114897084	0	0	0.005277325	0.012717982	0.038514234	0.002828643	0.604640558	0	0	1
106	0	0.050274269	0	0	0	0.733979277	0	0	0	0.080976317	0.253481191	0	0.079456467	0	0	1
107	0.099104332	0.081558545	0.047226139	0.038038585	0.082826926	0.258567636	0.008546387	0	0.008284203	0.036843174	0.097538384	0.014890036	0.226791754	0.021520687	0	1
108	0.009353812	0.110818544	0.110018857	0.006754853	0.009641622	0.529203645	0.000874056	0.001611989	0.001607443	0.038216024	0.240387801	0.015080784	0.03376746	0.000573084	0.005751789	1
109	0.018911624	0.085054867	0.063001335	0.018150418	0.021285643	0.356423918	0.002447933	0.000638728	0.004281855	0.012192046	0.148362802	0.003815254	0.355484896	0.005166091	0.026194115	1
110	0.008869235	0.170772393	0.132771057	0.013259049	0.011558733	0.610329122	0.000179251	0.001444706	0.001357856	0.032189714	0.110988128	0.005583331	0.042130692	0.000635278	0.005228764	1
111	0.008938239	0.171894222	0.153522495	0.009678656	0.009814783	0.637236111	0.000143452	0.002166164	0.001617096	0.041258613	0.135719889	0.005636621	0.01914356	0.000587788	0.00244066	1
112	0.007339176	0.130604738	0.104065766	0.009431944	0.008505115	0.495810224	0	0.001611248	0.000914034	0.036045526	0.115174102	0.001840129	0.244282581	0	0.02276548	1
113	0.038031276	0.045468259	0.027265999	0	0.01298084	0.198638587	0	0	0.00762742	0.014843466	0.053130318	0.008546731	0.489047206	0.004021131	0	1
114	0.008399191	0.023751934	0.010308633	0	0.003212867	0.111044822	0	0	0	0.005742539	0.02357005	0.004504198	0.600629858	0	0	1
115	0.013359894	0.018005476	0.006990029	0	0.003863537	0.080192834	0.003646358	0	0.002791908	0.009175817	0.019383124	0.007316135	0.690562572	0	0	1
116	0.04540539	0.07748796	0.002521076	0	0.021625935	0.398048745	0.004379359	0	0.010532968	0.018788884	0.059538516	0.004309154	0.14465086	0.007860208	0	1
117	0.043309194	0.08810303	0.027992931	0.003389482	0.026260571	0.421069085	0.003669551	0	0.008224139	0.018836176	0.06931525	0.006442047	0.0975524	0.00573723	0	1
118	0.046231456	0.084384084	0.027167137	0.001647529	0.02165197	0.418242561	0.003860353	0.000994581	0.007936416	0.019088054	0.057576003	0.005339307	0.094163581	0.006018281	0	1
119	0.09294508	0.064831815	0.036925547	0.008399587	0.042325063	0.30679809	0.007349648	0	0.011796143	0.025523347	0.081082538	0.018090464	0.28293009	0.016287194	0	1
120	0.086643207	0.088616213	0.046205247	0.017930202	0.069337047	0.343346975	0.008514361	0.001705283	0.011838088	0.031703606	0.066620105	0.017311547	0.151937708	0.011459397	0	1
121	0.061074518	0.08737051	0.05023483	0.019726858	0.069272088	0.348444663	0.007888963	0	0.011768627	0.028002159	0.087647664	0.020945873	0.205741375	0.012901374	0	1
122	0.029733648	0.023965245	0.011578942	0.003321034	0.006606888	0.11801124	0.003640959	0	0.008532942	0.019503075	0.032740707	0	0.588870133	0.004013571	0.006163084	1
123	0.008516921	0.156536376	0.100793068	0.010757516	0.011439097	0.566990545	0	0.002060623	0.001130907	0.03336013	0.08920787	0.012729641	0.058972159	0.00087023	0.005441105	1
124	0.006210727	0.129535804	0.068052068	0.004172357	0.004779973	0.680822962	0.000877065	0.000747354	0.000900406	0.015423408	0.143897069	0.004058955	0.019244327	0	0.00337084	1
125	0.022167184	0.062292584	0.041547423	0.005811116	0.014908858	0.261615499	0.001860613	0.00097529	0.00456116	0.016646005	0.052823698	0.005393134	0.534523519	0.007811477	0.030057494	1
126	0.007066443	0.138837316	0.10241319	0.006777169	0.007820306	0.579683628	0	0.001849327	0.00159177	0.046892141	0.133394706	0	0.025764541	0.001106248	0.003194038	1
127	0.024487536	0.074283144	0.066183069	0.011981953	0.031407566	0.315427144	0.003509218	0.004307576	0.007675991	0.059691772	0.086530121	0	0.38333112	0.006384224	0.013549387	1
176	0.01839729	0.100586799	0.065818052	0.010205779	0.00478483	0.446169713	0.000729044	0.009136394	0.002065244	0.028046619	0.045034426	0.010084727	0.012310535	0.000817475	0	1
177	0.018676323	0.099898389	0.063916917	0.010923957	0.00501908	0.436183671	0.00090247	0.008511794	0.001737109	0.025429613	0.043382067	0.009950399	0.011937238	0.001106787	0	1
178	0.019400927	0.09896672	0.060417608	0.010136876	0.005751564	0.434549707	0.001544555	0.008727373	0.001720225	0.024199736	0.042992157	0.010304576	0.013875319	0.000563274	0	1
179	0.020867319	0.103338604	0.061400252	0.009669405	0.004969208	0.459164376	0.000693755	0.00835412	0.002275845	0.024068033	0.039987389	0.010214781	0.011163567	0.00096885	0	1
180	0.020881902	0	0.063757657	0.009239333	0.005634982	0.461222064	0.001115643	0.007742503	0.001909874	0.022734322	0.040253012	0.010129875	0.010397184	0.000955489	0	1
181	0.020718211	0.103983802	0.064691986	0.008918083	0.005235328	0.462381775	0.000650208	0.008121345	0.001730917	0.023098329	0.043224436	0.010059369	0.010422828	0.001114813	0	1
250	0.005086973	0.084934728	0.032171718	0.007498952	0.004669337	0.531800709	0	0	0	0.017171869	0.494773042	0.016882805	0.035591051	0	0	1
251	0.005756965	0.090121577	0.028902797	0	0.00584634	0.548010836	0	0	0	0.020351888	0.507556228	0.019631901	0.036731943	0.004626135	0	1
252	0.005234415	0.08559576	0.02964244	0.0068598	0.004868302	0.553430677	0	0	0	0	0.473280007	0.017672438	0.037622232	0	0	1
253	0	0.090818157	0.026399605	0.005817205	0.005805545	0.512421861	0	0	0	0.022133849	0.571526319	0.018629467	0.026184358	0	0	1
254	0.038060541	0.191253846	0	0.018600214	0.006780764	0.677706808	0.005825514	0.007378394	0.006074429	0.002117413	0.287766618	0.007307335	0.052613382	0.004538229	0	1
255	0.033633671	0.244539335	0	0.022112134	0.011092547	0.757928604	0.005975967	0.006189505	0.006862803	0.00448724	0.363429576	0.008601565	0.043091498	0.004758893	0	1
256	0.029321268	0.178561349	0	0.022015179	0.008975259	0.557243679	0.005049798	0.004709069	0.00452461	0	0.284394955	0.007173462	0.054601311	0.003793305	0	1
257	0.050264054	0.141202428	0	0.01318502	0.005988525	0.456617825	0.006781394	0.00981702	0.008813068	0.005979961	0.208809117	0.006755901	0.040598174	0.004007409	0	1
258	0.019456252	0.164658646	0	0.009425524	0.004522207	0.712427074	0.004189093	0	0	0.006087619	0.45612308	0.009612289	0.043486212	0.003492458	0	1
259	0.011466196	0.116106042	0	0.007480088	0.001234714	0.624681482	0.003804864	0.000854094	0	0.005638284	0.402149346	0.010416402	0.051392398	0.003221124	0	1
260	0.010279474	0.10128914	0	0.00588752	0.003128888	0.604704286	0.002353595	0	0	0.005072436	0.406365688	0.006736339	0.02108047	0.002547489	0	1
261	0.012550403	0.134814258	0	0.006520872	0.004009027	0.663051124	0.005623814	0	0	0.005519172	0.495715138	0.0076345	0.024182947	0.002748547	0	1
262	0.004456239	0.068732764	0	0.003225896	0.001913193	0.56221956	0.002709657	0	0	0.004320049	0.521856922	0.007626777	0.008987628	0.002167671	0	1
